RANK,PLAYER,TEAM,LEAGUE,POS,CAT,AGE,BLURB,ETA,R,HR,RBI,AVG,OBP,SLG,SB,W,ERA,WHIP,K,SV,IP,R,HR,RBI,AVG,OBP,SLG,SB,W,ERA,WHIP,K,SV,IP
888,Dean Kremer,BAL,AL, RHP,Pitcher,24.3,Put together another strong season with a pitching line of 2.98/1.23/87/29 at Double-A before struggling in 4 starts at Triple-A. He has an above average fastball/curveball combo with a developing changeup.,JUNE,,,,,,,,6,4.71,1.44,88,0,100,,,,,,,,10,4.08,1.31,163,0,170
889,Matt Tabor,ARI,NL, RHP,Pitcher,21.9,Excellent full season debut with a pitching line of 2.93/1.00/101/16 in 95.1 IP. Tabor throws a low 90s fastball with two quality secondaries in his change and curve.,2022,,,,,,,,,,,,,,,,,,,,,11,3.93,1.28,169,0,175
890,J.B. Bukauskas,ARI,NL, RHP,Pitcher,23.6,Potential for 3 plus pitches (fastball; change; slider); but lack of control could relegate him to the bullpen.,2021,,,,,,,,,,,,,,,,,,,,,8,3.71,1.28,117,0,110
891,Leury Garcia,CHW,AL, OF,Batter,29,Nick Madrigal is breathing down his neck for the 2B job; but until that switch happens; Garcia should chip in with runs and stolen bases.,,59,8,41,0.26,0.3,0.371,11,,,,,,,,,,,,,,,,,,,
892,Joe Ross,WAS,NL, RHP,Pitcher,26.1,Will compete for a starting role in the Spring. Didnt pitch well overall; but the results were better down the stretch with a 2.75 ERA and 32/20 K/BB in final 39.1 IP.,,,,,,,,,5,4.62,1.42,87,0,91,,,,,,,,,,,,,
893,Collin McHugh,FA,, SU,Reliever,32.9,Got knocked around in the rotation early in the season; but was much better after being moved to the pen with a 2.67 ERA and 40/16 K/BB in 33.2 IP. Elbow pain ended his season in late August.,,,,,,,,,3,3.65,1.22,75,0,65,,,,,,,,,,,,,
894,Alex Jackson,ATL,NL, C,Batter,24.3,Power exploded with 28 homers and a 91 MPH average exit velocity in 85 games at Triple-A. 33.3% K% and 6.7% BB% is terrible; but the offensive bar for catcher is pretty low.,AUG,11,3,14,0.198,0.261,0.398,0,,,,,,,52,20,61,0.228,0.292,0.433,0,,,,,,
895,Andy Young,ARI,NL, 2B,Batter,25.11,Has done nothing but rake at every minor league level. Hes old for a prospect; but the power should mostly translate.,AUG,12,5,15,0.242,0.301,0.42,0,,,,,,,55,18,63,0.258,0.32,0.446,2,,,,,,
896,DJ Stewart,BAL,AL, OF,Batter,26.4,Underwent ankle surgery in October and is likely to miss the start of the season. 18.3%/9.9% K%/BB% with 4 homers in 142 MLB at-bats is encouraging despite the 82 wRC+.,,41,11,43,0.248,0.327,0.418,4,,,,,,,73,19,72,0.257,0.341,0.431,7,,,,,,
897,Shervyen Newton,NYM,NL, SS,Batter,21,Projectable 64ù; 180 pounds with the potential for plus power but hit tool is still raw.,2022,,,,,,,,,,,,,,64,20,75,0.245,0.322,0.457,5,,,,,,
898,Alex Gordon,KC,AL, OF,Batter,36.2,Career low 15.8% K% and has a full time job; but there isnt much power or speed upside.,,66,13,62,0.26,0.33,0.395,6,,,,,,,,,,,,,,,,,,,
899,Luis Oviedo,CLE,AL, RHP,Pitcher,20.11,Nagging back injury tanked his 2019. When healthy; he throws a mid 90s fastball with the potential for 3 quality secondaries.,2022,,,,,,,,,,,,,,,,,,,,,10,3.91,1.28,160,0,160
900,Elieser Hernandez,MIA,NL, RHP,Pitcher,24.11,Put up strong K/BB numbers in his MLB debut (85/26 K/BB in 82.1 IP); but still got hit up for a 5.03 ERA because his 90.9 MPH fastball got destroyed.,,,,,,,,,6,4.42,1.33,126,0,130,,,,,,,,,,,,,
901,Ryan McKenna,BAL,AL, OF,Batter,23.2,.232 BA at Double-A has McKennas stock down; but the underlying numbers looked good with a 21.3%/10.4% K%/BB%; 9 homers; and 25 steals in 135 games.,2021,,,,,,,,,,,,,,56,10,48,0.257,0.331,0.398,14,,,,,,
902,Kevin Smith,TOR,AL, SS,Batter,23.9,Strikeout rate ballooned at Double-A to 32.3% and batting average plummeted to .209. The power and speed did show up with 19 homers and 11 steals; but the hit tool risk is now magnified.,2021,,,,,,,,,,,,,,51,14,57,0.238,0.297,0.421,6,,,,,,
903,Forrest Wall,TOR,AL, OF,Batter,24.5,Maintained his solid across the board profile at Double-A and Triple-A; slashing .268/.351/.422 with 11 homers; 14 steals and a 123/55 K/BB in 123 games. Winning playing time will be his biggest hurdle.,2021,,,,,,,,,,,,,,59,11,54,0.255,0.332,0.41,12,,,,,,
904,Adam Hall,BAL,AL, SS,Batter,20.1,Plus speed is his best skill; stealing 33 bases in 122 games at Full-A. He does have some feel to hit and there is a bit more power in there if he can raise his launch angle; but utility infielder is his most likely outcome.,2022,,,,,,,,,,,,,,52,8,45,0.264,0.314,0.401,15,,,,,,
905,Logan Wyatt,SF,NL, 1B,Batter,22.5,Drafted 51st overall; Wyatt has a great batting eye with a good feel to hit; but needs to tap into his raw power more.,2022,,,,,,,,,,,,,,74,20,77,0.272,0.361,0.442,2,,,,,,
906,Greg Deichmann,OAK,AL, OF,Batter,24.1,Big time power with high strikeout rates. Crushed 9 homers in 23 games in the Arizona Fall League. These types of power bats always seems to work their way into Oaklands lineup by their late 20s.,2021,,,,,,,,,,,,,,62,23,74,0.243,0.332,0.45,5,,,,,,
907,Brewer Hicklen,KC,AL, OF,Batter,24.2,Great athlete with a plus power/speed combo but is still raw at the plate. Slashed .263/.363/.427 with 14 homers; 39 steals; and a 140/55 K/BB in 125 games at High-A.,2021,,,,,,,,,,,,,,64,15,61,0.243,0.317,0.421,17,,,,,,
908,Micker Adolfo,CHW,AL, OF,Batter,23.6,Lost year due to an elbow injury which required arthroscopic surgery. Hes shown at least plus raw power when healthy; although the strikeout rates have been consistently high.,2021,,,,,,,,,,,,,,67,23,80,0.248,0.33,0.451,2,,,,,,
909,Jerar Encarnacion,MIA,NL, OF,Batter,22.5,At 6≤;4ù; 220 pounds; Encarnacion is a power hitting beast with hit tool and plate approach concerns.,2022,,,,,,,,,,,,,,62,22,71,0.253,0.319,0.454,2,,,,,,
910,Tony Kemp,OAK,AL, 2B/OF,Batter,28.5,In competition for the starting 2B job and could end up in a platoon role. Regardless; he doesnt offer much fantasy upside.,,43,9,38,0.242,0.315,0.385,6,,,,,,,,,,,,,,,,,,,
911,Homer Bailey,MIN,NL, RHP,Pitcher,33.11,Pitched well for the first time since 2014; posting a 4.57 ERA (4.11 FIP) with a 149/53 K/BB in 163.1 IP.,,,,,,,,,8,4.42,1.34,123,0,140,,,,,,,,,,,,,
912,Adam Wainwright,STL,NL, RHP,Pitcher,38.7,Former ace who has been a backend starter since 2016.,,,,,,,,,9,4.31,1.4,133,0,150,,,,,,,,,,,,,
913,Adbert Alzolay,CHC,NL, RHP,Pitcher,25.1,Could be next man up in Chicagos rotation. Alzolay throws a mid 90s fastball with a plus curve and an improved changeup; but needs to improve his command to stick in the rotation.,,,,,,,,,4,4.52,1.38,81,0,75,,,,,,,,,,,,,
914,Luis Rengifo,LAA,AL, 2B,Batter,23.1,Lack of stolen base attempts and a poor success rate in 2019 is not a good sign that his previously high stolen base totals will translate to the majors. Trade to the Dodgers wont make finding playing time any easier.,,33,5,28,0.258,0.33,0.391,5,,,,,,,,,,,,,,,,,,,
915,Ryan Helsley,STL,NL, RHP,Pitcher,25.9,Moved into the bullpen and let it fly with a 98 MPH and plus 89 MPH slider. He has the stuff to slowly move up the Cardinals bullpen ladder.,,,,,,,,,3,3.63,1.22,64,0,61,,,,,,,,,,,,,
916,Tucker Barnhart,CIN,NL, C,Batter,29.3,Low upside catcher and hasTyler Stephensonknocking on the door to steal his job.,,41,11,45,0.244,0.324,0.38,1,,,,,,,,,,,,,,,,,,,
917,Jacob Stallings,PIT,NL, C,Batter,30.3,Posted strong exit velocities (88.8 MPH avg. exit velo) with a good feel to hit (19% K%).,,42,12,49,0.255,0.315,0.397,0,,,,,,,,,,,,,,,,,,,
918,Ivan Herrera,STL,NL, C,Batter,19.1,Solid all around hitter who performed well in what was basically his full season debut; slashing .284/.374/.405 with 9 homers and a 72/40 K/BB in 69 games.,2023,,,,,,,,,,,,,,58,16,63,0.267,0.342,0.419,1,,,,,,
919,Seth Brown,OAK,AL, 1B/OF,Batter,27.9,Old for a prospect but he put up strong numbers in his MLB debut; slashing .293/.361/.493 with above average exit velocities; a 17.5 degree launch angle; and above average sprint speed. He crushed 37 homes at Triple-A; and considering the solid debut; Brown has a chance to be a late bloomer breakout.,,16,5,19,0.245,0.306,0.434,1,,,,,,,53,17,61,0.257,0.318,0.468,5,,,,,,
920,Lolo Sanchez,PIT,NL, OF,Batter,21,Plus speed; defense; and contact rates; but is not expected to hit for much power.,2022,,,,,,,,,,,,,,78,13,69,0.272,0.341,0.4,18,,,,,,
921,Rodolfo Castro,PIT,NL, SS/2B,Batter,20.1,Plus athlete who rocked 19 homers in 118 games split between Full-A and High-A; but is still raw with a 122/31 K/BB.,2022,,,,,,,,,,,,,,66,20,69,0.248,0.315,0.433,6,,,,,,
922,Anderson Tejeda,TEX,AL, SS,Batter,21.11,Shoulder discomfort limited Tejada to 43 games. When healthy; hes displayed plus power with high strikeout rates and some speed.,2021,,,,,,,,,,,,,,69,19,76,0.242,0.324,0.427,7,,,,,,
923,Yunior Severino,MIN,NL, 2B/SS,Batter,20.6,Fractured thumb knocked out most of his 2019. Severino profiles as a high strikeout power hitter at peak.,2023,,,,,,,,,,,,,,63,18,67,0.255,0.326,0.442,3,,,,,,
924,Magneuris Sierra,MIA,NL, OF,Batter,24,Speed and defense are his game; and if that manages to get him a starting job; he should make enough contact to help out in the stolen base category.,,43,5,29,0.248,0.289,0.352,12,,,,,,,66,9,53,0.262,0.306,0.396,19,,,,,,
925,Dominic Fletcher,ARI,NL, OF,Batter,22.7,Selected 75th overall; Fletcher had a great pro debut in full season ball; slashing .318/.389/.463 with 5 homers and a 50/22 K/BB in 55 games. Hes been raking since his freshman year in the SEC.,2022,,,,,,,,,,,,,,64,16,71,0.263,0.327,0.445,3,,,,,,
926,Allan Cerda,CIN,NL, OF,Batter,20.4,Cerda is an athletic and projectable 63ù; 170 pounds. Hes hit for power with high flyball rates in the Dominican League in 2018 and stateside rookie ball in 2019; but the strikeout rates are high.,2023,,,,,,,,,,,,,,68,24,71,0.243,0.334,0.456,7,,,,,,
927,Benyamin Bailey,CHW,AL, OF,Batter,18.6,64ù; 215 pound beast with the potential for a plus power/speed combo. Performed well in his pro debut in the Dominican Summer League; slashing .324/.477/.454 with 2 homers; 10 steals; and a 40/52 K/BB in 55 games.,2024,,,,,,,,,,,,,,63,18,69,0.248,0.329,0.453,12,,,,,,
928,Joshua Mears,SD,NL, OF,Batter,19.1,Drafted 48th overall; Mears is 63ù; 230 pounds with plus power and plus bat speed; but hit tool is raw. Smacked 7 homers with a 30.3% K% in 43 game pro debut.,2024,,,,,,,,,,,,,,62,21,69,0.237,0.322,0.449,4,,,,,,
929,Juan Guerrero,COL,NL, 3B,Batter,18.7,Strong performance in the Dominican Summer League; slashing .319/.387/.408 with 2 homers; 17 steals and 26/21 K/BB in 51 games. Hes a high upside prospect with the chance for all category production.,2024,,,,,,,,,,,,,,79,20,77,0.274,0.342,0.44,14,,,,,,
930,Jordan Brewer,HOU,AL, OF,Batter,22.8,Drafted 106th overall; Brewer has big tools with high upside but hit tool is a major risk (.130 BA in 56 PA pro debut at Short-A).,2023,,,,,,,,,,,,,,54,12,49,0.239,0.295,0.415,15,,,,,,
931,Matthew Lugo,BOS,AL, SS,Batter,18.11,Drafted 69th overall; Lugo has an average to above average all around skill set.,2024,,,,,,,,,,,,,,74,17,71,0.26,0.33,0.43,13,,,,,,
932,Grant Holmes,OAK,AL, RHP,Pitcher,24,A shoulder injury knocked out almost all of Holmes 2018; but he put himself back on the radar this season with a pitching line of 3.23/1.22/81/28 in 86.1 IP at Double-A (and one good start at Triple-A). He credits the success with a tweak he made to his delivery with helped his control and added movement to his pitches.,2021,,,,,,,,,,,,,,,,,,,,,10,4.23,1.35,154,0,163
933,Joey Wentz,DET,AL, LHP,Pitcher,22.6,Traditional 3 pitch mix headlined by a plus changeup. Unless he can add MPH to his low 90s fastball; he will likely be a back end starter.,2021,,,,,,,,,,,,,,,,,,,,,11,4.13,1.32,156,0,160
934,Levi Kelly,ARI,NL, RHP,Pitcher,20.11,Great full season debut with a pitching line of 2.15/1.11/126/39 in 100.1 IP. Kelly works in the low 90s but has the potential for an elite double plus slider.,2023,,,,,,,,,,,,,,,,,,,,,7,3.92,1.32,133,0,125
935,Drey Jameson,ARI,NL, RHP,Pitcher,22.7,Drafted 34th overall; Jameson throws a mid 90s fastball with the potential for 3 quality secondaries but needs to improve control/command.,2022,,,,,,,,,,,,,,,,,,,,,10,4.13,1.33,159,0,156
936,Brandon Bailey,BAL,AL, RHP,Pitcher,25.5,Baltimores Rule 5 pick and will compete for a rotation spot in the Spring. Racked up strikeouts throughout his minor league career with a repertoire headlined by a high spin; low 90s fastball and potentially plus change.,,,,,,,,,6,4.72,1.43,93,0,100,,,,,,,,4,3.94,1.33,89,0,82
937,Lazaro Armenteros,OAK,AL, OF,Batter,20.1,Strikeout rate continued to balloon with a 42.2% K% at High-A; but the power showed up with 17 homers in 126 games and hell still be only 20 years old at the start of 2020.,2022,,,,,,,,,,,,,,60,19,70,0.229,0.314,0.441,9,,,,,,
938,Trent Deveaux,LAA,AL, OF,Batter,19.11,High risk; high reward prospect with double-plus speed and the potential for above average power; but hit tool needs a lot of work.,2023,,,,,,,,,,,,,,56,15,53,0.236,0.318,0.431,13,,,,,,
939,Stephen Gonsalves,NYM,NL, LHP,Pitcher,25.1,Missed most of 2019 with elbow problems. Gonsalves is a low velocity; high spin rate pitcher who has put up respectable strikeout numbers throughout his minor league career.,,,,,,,,,1,4.68,1.41,19,0,20,,,,,,,,9,4.19,1.35,150,0,155
940,Jaylin Davis,SF,NL, OF,Batter,25.9,Power broke out at Double-A and Triple-A with 35 homers; but fly ball rates are still low and strikeout rates have been high throughout his career.,,28,7,29,0.246,0.301,0.427,2,,,,,,,,,,,,,,,,,,,
941,Tucker Davidson,ATL,NL, LHP,Pitcher,24,Plus fastball/curveball combo with a developing changeup. Pitched well in the upper levels of the minors; but Atlanta has so much pitching depth; there is a good chance he ends up in the pen.,2021,,,,,,,,,,,,,,,,,,,,,6,4.09,1.3,96,0,93
942,Asher Wojciechowski,BAL,AL, RHP,Pitcher,31.3,Cutter is his best pitch which he should probably start throwing more. Hes a back end starter regardless.,,,,,,,,,5,4.77,1.38,112,0,120,,,,,,,,,,,,,
943,Tanner Houck,BOS,AL, RHP,Pitcher,23.9,Knocking on the door of the bigs but has been inconsistent in his minor league career. Likely back end starter or middle reliever.,,,,,,,,,1,4.59,1.38,18,0,20,,,,,,,,4,4.26,1.33,80,0,85
944,Malcom Nunez,STL,NL, 1B,Batter,19.1,The insane numbers he put up in the Dominican Summer League in 2018 came crashing back down to earth in stateside ball; slashing .254/.336/.385 with 0 homers and a 32/13 K/BB in 37 games in the Appy League.,2024,,,,,,,,,,,,,,64,20,73,0.256,0.325,0.45,2,,,,,,
945,Nick Gordon,MIN,NL, SS/2B,Batter,24.5,Solid year at Triple-A; slashing .298/.342/.459 with 4 homers; 14 steals; and a 65/18 K/BB in 70 games. Utility infielder looks to be his most likely outcome.2020 Projection:17/2/12/.243/.291/.363/3,,61,8,53,0.272,0.324,0.398,12,,,,,,,,,,,,,,,,,,,
946,Kyle Stowers,BAL,AL, OF,Batter,22.3,Drafted 71st overall; Stowers is an above average power/speed threat with some hit tool concerns.,2022,,,,,,,,,,,,,,61,17,69,0.255,0.329,0.446,9,,,,,,
947,Seth Johnson,TB,AL, RHP,Pitcher,21.6,Drafted 40th overall; Johnson is very new to pitching and understandably raw; but the stuff is excellent with a mid 90s fastball and potentially plus slider. Curve and change lag behind.,2023,,,,,,,,,,,,,,,,,,,,,9,3.99,1.35,134,0,137
948,Alexander Ramirez,LAA,AL, OF,Batter,17.7,Has the chance for at least plus power and is one of the youngest players in his úclass;ù but a 33.3% K% in the Dominican League shows how risky he is.,2025,,,,,,,,,,,,,,61,19,69,0.233,0.307,0.446,5,,,,,,
949,Eduardo Garcia,MIL,NL, SS,Batter,17.9,Fractured ankle limited him to only 10 games in the Dominican Summer League; but he played well in those 10 games with a good feel to hit and advanced plate approach. Plus defense is his calling card.,2024,,,,,,,,,,,,,,77,16,71,0.274,0.34,0.405,11,,,,,,
950, Adael Amador,COL,NL, SS,Batter,17,Signed for $1.5 million; Amador has a plus hit tool with an advanced plate approach and developing power.,2025,,,,,,,,,,,,,,79,20,75,0.281,0.342,0.435,6,,,,,,
951, Roberto Campos,DET,AL, OF,Batter,17,Signed for $2.85 million; Campos is 63ù; 200 pounds with big time power potential and solid plate approach; but it will come with some strikeouts.,2025,,,,,,,,,,,,,,68,23,79,0.252,0.337,0.472,3,,,,,,
952,Franklin Perez,DET,AL, RHP,Pitcher,22.4,When healthy; Perez throws a 4 pitch mix with mid rotation upside; but he hasnt been healthy very often with a career high of 86.1 IP and only 7.2 IP in 2019.,2021,,,,,,,,,,,,,,,,,,,,,11,4.05,1.3,162,0,167
953,Tyler Anderson,SF,NL, LHP,Pitcher,30.3,Knee surgery in June puts his status for Opening Day in question. Anderson is worth a flier in deep leagues where pitching is scarce to see what he is capable of outside of Coors.,,,,,,,,,4,4.28,1.31,73,0,75,,,,,,,,,,,,,
954,Josh Reddick,HOU,AL, OF,Batter,33.1,I expect Tucker to win this job sooner rather than later; but Reddick is still the incumbent starter.,,44,12,43,0.265,0.321,0.418,3,,,,,,,,,,,,,,,,,,,
955,Aledmys Diaz,HOU,AL, 2B/1B,Batter,28.8,Part time player; but with elite contact rates; improved plate approach; average power; and above average speed; the skills are there to make an impact if injuries open up a full time role.,,33,9,37,0.268,0.331,0.45,3,,,,,,,,,,,,,,,,,,,
956,Taylor Widener,ARI,NL, RHP,Pitcher,25.5,Murphys Law season with a high BABIP; high home run rate; and low left on base percentage in the extreme hitters environment of the PCL. 23.5% K% was the lone bright spot.,,,,,,,,,2,4.96,1.43,29,0,30,,,,,,,,8,4.45,1.36,155,0,153
957,Tahnaj Thomas,PIT,NL, RHP,Pitcher,20.1,Mid 90s fastball with a slider that flashes plus and developing change. Has only been pitching for a few years. Broke out in 2019 in the Appy League with a pitching line of 3.17/1.12/59/14 in 48.1 IP,2023,,,,,,,,,,,,,,,,,,,,,7,3.91,1.33,125,0,121
958,Lenny Torres,CLE,AL, RHP,Pitcher,19.6,Underwent Tommy John surgery in May 2019. When healthy; Torres has a plus fastball/slider combo with a developing change and looked more refined than expected in his 2018 pro debut.,2023,,,,,,,,,,,,,,,,,,,,,11,3.85,1.29,168,0,159
959,Roberto Ramos,COL,NL, 1B,Batter,25.3,Double plus raw power with high strikeout rates. Destroyed Triple-A with 30 homers; but struggled in the Fall League and Winter League.,AUG,15,6,18,0.232,0.313,0.441,0,,,,,,,53,19,61,0.248,0.335,0.465,1,,,,,,
960, Chih-Jung Liu,BOS,AL, RHP,Pitcher,20.11,Signed for $750;000; Liu throws a mid 90s fastball with a splitter and slider that both flash plus along with a curve. He doesnt have a long history as a pitcher; giving him some unknown upside.,2022,,,,,,,,,,,,,,,,,,,,,5,3.72,1.26,83,0,78
961,Osiel Rodriguez,NYY,AL, RHP,Pitcher,18.4,Prototypical starter size with a fastball that has reached 97 MPH and two potentially plus secondaries in his curve and change.,2024,,,,,,,,,,,,,,,,,,,,,10,4,1.3,150,0,150
